City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Chapais,CA,49.7834,-74.8492,10.18,79,100,14.09,overcast clouds
70,Lebu,CL,-37.6167,-73.65,52.57,83,7,15.14,clear sky
71,New Norfolk,AU,-42.7826,147.0587,68.9,57,91,2.01,heavy intensity rain
72,Mar Del Plata,AR,-38.0023,-57.5575,70.09,88,0,18.01,clear sky
73,Katsuura,JP,35.1333,140.3,44.62,48,44,34.27,scattered clouds
74,Portland,US,45.5234,-122.6762,24.98,79,100,24.16,light rain
75,Hilo,US,19.7297,-155.09,72.25,92,40,5.75,scattered clouds
76,Gizo,SB,-8.103,156.8419,82.65,76,99,6.64,overcast clouds
77,East London,ZA,-33.0153,27.9116,79.74,65,20,3.44,few clouds
78,Khartoum,SD,15.5518,32.5324,71.02,36,8,3.0,clear sky
79,Nantucket,US,41.2835,-70.0995,55.51,89,100,27.63,light rain
80,Ipora,BR,-16.4419,-51.1178,65.55,92,11,0.49,few clouds
81,Ansbach,DE,49.3,10.5833,47.19,93,75,6.91,broken clouds
82,Bethel,US,41.3712,-73.414,54.01,83,100,6.91,heavy intensity rain
83,Kirovsk,UA,48.6375,38.6428,37.87,78,100,6.67,overcast clouds
84,Sisimiut,GL,66.9395,-53.6735,10.99,60,11,10.69,few clouds
85,Sitka,US,57.0531,-135.33,33.69,47,100,17.27,overcast clouds
86,Margate,GB,51.3813,1.3862,48.9,92,100,1.01,moderate rain
87,Durusu,TR,41.3053,28.6767,51.98,93,0,3.0,clear sky
88,Bharatpur,IN,27.2167,77.4833,71.26,28,0,6.11,clear sky
89,Provideniya,RU,64.3833,-173.3,19.09,61,0,18.86,clear sky
90,Talnakh,RU,69.4865,88.3972,-2.79,94,100,15.66,light snow
91,Baglung,NP,28.2719,83.5898,69.4,23,0,6.15,clear sky
92,Constitucion,CL,-35.3333,-72.4167,55.53,71,6,10.18,clear sky
93,La Ronge,CA,55.1001,-105.2842,-23.58,75,0,8.05,clear sky
94,Kapaa,US,22.0752,-159.319,76.98,78,0,9.22,clear sky
95,Guilin,CN,25.2819,110.2864,60.91,20,81,4.41,broken clouds
96,Necochea,AR,-38.5473,-58.7368,63.03,94,71,7.9,light rain
